"X"	"target_id"	"ens_gene"	"ext_gene"	"pval"	"qval"	"b"	"se_b"	"mean_obs"	"var_obs"	"tech_var"	"sigma_sq"	"smooth_sigma_sq"	"final_sigma_sq"
"200"	200	"ENST00000256759"	"ENSG00000134363"	"FST"	7.73937525867597e-74	1.98638805389177e-71	1.78504694884186	0.0981993513990063	7.22887232545541	0.967489518009119	0.00468498521517743	0.00977968370760086	0.00366028762587824	0.00977968370760086
"202"	202	"ENST00000610929"	"ENSG00000197746"	"PSAP"	1.65046926024178e-73	4.19415287459066e-71	8.65785500316942	0.477379686865304	3.63578032102477	22.7610056152897	0.00311120633361938	0.338725841813804	0.222079792309844	0.338725841813804
"204"	204	"ENST00000396650"	"ENSG00000166920"	"C15orf48"	6.96842362178756e-73	1.75344667330196e-70	1.43170613192574	0.0792887977941834	6.28232181177812	0.622478790604906	0.00356743456295826	0.00586263562051211	0.00514976787673788	0.00586263562051211
"205"	205	"ENST00000524816"	"ENSG00000137699"	"TRIM29"	7.24487654285361e-73	1.81411708633054e-70	1.00883933994398	0.0558768129862276	8.01375386851345	0.305574829414589	0.000621042524488008	-0.000311310938226208	0.00406228481975877	0.00406228481975877
"206"	206	"ENST00000472232"	NA	NA	7.36429938362645e-73	1.83506900951608e-70	1.2585215182978	0.0697095021316823	6.62122071348304	0.480542163168781	0.0029443903958323	0.00377965905816481	0.00434473163533822	0.00434473163533822
"209"	209	"ENST00000296252"	"ENSG00000163898"	"LIPH"	1.49548968645588e-72	3.67303715718436e-70	1.31353809893552	0.0729150319822066	6.52779165083485	0.522121245241477	0.00343466039844824	0.00219851964522266	0.00454024243500108	0.00454024243500108
"212"	212	"ENST00000345146"	"ENSG00000138413"	"IDH1"	6.12722109068516e-72	1.48359675956156e-69	1.00614039506956	0.0560948115019965	7.25233350703509	0.305279649542534	0.00106820109419617	0.000911925362449965	0.00365174072197061	0.00365174072197061
"215"	215	"ENST00000616315"	"ENSG00000245532"	"NEAT1"	1.5196309797548e-71	3.6281719745476e-69	2.50033748382772	0.139794010980848	5.97754460838034	1.89895709851752	0.00778052549201905	0.021533022767151	0.00625812348997126	0.021533022767151
"219"	219	"ENST00000370466"	"ENSG00000162645"	"GBP2"	4.2982116715298e-71	1.00746941334688e-68	1.36469013508249	0.0765483253963639	6.64887179358974	0.565745324782627	0.0028304499697889	0.00595901921169253	0.00429209447885357	0.00595901921169253
"223"	223	"ENST00000300557"	"ENSG00000167183"	"PRR15L"	3.13218356925117e-70	7.20992138909422e-68	1.71678973677643	0.0969038702901727	5.75353011168274	0.888123072725304	0.00651630074011423	-0.00162508494631857	0.0075692393757077	0.0075692393757077
