"X"	"target_id"	"ens_gene"	"ext_gene"	"pval"	"qval"	"b"	"se_b"	"mean_obs"	"var_obs"	"tech_var"	"sigma_sq"	"smooth_sigma_sq"	"final_sigma_sq"
"128"	128	"ENST00000327044"	"ENSG00000188976"	"NOC2L"	4.56726757522698e-87	1.83161702477774e-84	-1.06819923475406	0.0540083039215472	7.4746413547885	0.345605508915805	0.000743759707854293	0.00336952451346487	0.00363158563086903	0.00363158563086903
"129"	129	"ENST00000277010"	"ENSG00000147955"	"SIGMAR1"	9.34108606045652e-87	3.71702813686321e-84	-1.12120642102405	0.0567920621552059	7.37562044092838	0.379936855094469	0.00121101190548948	0.0022961175080094	0.00362699558027168	0.00362699558027168
"130"	130	"ENST00000397885"	"ENSG00000080608"	"PUM3"	1.01930303520321e-86	4.02483564638856e-84	-1.39347993177891	0.0705992048536496	6.2148525741639	0.583792743410885	0.00212565202216599	-0.000554592860017264	0.00535071956678538	0.00535071956678538
"131"	131	"ENST00000261366"	"ENSG00000113368"	"LMNB1"	1.62447203385125e-86	6.36545026272157e-84	-1.11270988320569	0.0564416734204982	7.85790421835575	0.374179768353724	0.000916134020755879	0.00251234485254132	0.00386235972700339	0.00386235972700339
"132"	132	"ENST00000548470"	"ENSG00000167553"	"TUBA1C"	3.36986640410787e-86	1.31046956254292e-83	-1.2416756119731	0.0631016776346779	7.98678337504305	0.463029308579663	0.00194990469699175	-0.00132264098569819	0.00402282788347446	0.00402282788347446
"133"	133	"ENST00000308946"	"ENSG00000172927"	"MYEOV"	4.0385946207729e-86	1.55871533137981e-83	-1.94024601737306	0.0986488826862803	6.58955529937933	1.13605801641421	0.0101894985272863	-0.00182495598402412	0.00440790455559095	0.00440790455559095
"134"	134	"ENST00000361070"	"ENSG00000168411"	"RFWD3"	5.00909001456644e-86	1.9188552882666e-83	-1.24619681106793	0.0633962101167508	6.52173730697279	0.467492363008412	0.00147486260010113	0.000513156691962797	0.0045537565856497	0.0045537565856497
"135"	135	"ENST00000587309"	"ENSG00000186185"	"KIF18B"	6.84520966866067e-86	2.60280224230881e-83	-1.45914649463756	0.0742892430616941	6.18094794414127	0.642917923056764	0.00281883667744291	0.00241288233860356	0.00545950077457628	0.00545950077457628
"136"	136	"ENST00000308159"	"ENSG00000102900"	"NUP93"	9.32528768902308e-86	3.51974755627156e-83	-1.29449485138693	0.0659591125485998	6.5142172943637	0.505887745106928	0.00195529445159212	0.00201054183184265	0.00457061234070616	0.00457061234070616
"137"	137	"ENST00000313288"	"ENSG00000013810"	"TACC3"	9.50378281821909e-86	3.56093561769943e-83	-1.15375784738753	0.0587909487225217	7.42323200447813	0.402842653018044	0.00155808571529109	0.00281129165415356	0.00362647776225017	0.00362647776225017
"140"	140	"ENST00000299300"	"ENSG00000166226"	"CCT2"	1.57646146632431e-85	5.78020857066853e-83	-1.06104383109926	0.0541376102598242	7.68540762831883	0.338945113377424	0.000681136595884076	0.000820000808224029	0.00371518467108287	0.00371518467108287
"141"	141	"ENST00000265056"	"ENSG00000073111"	"MCM2"	1.80433485574608e-85	6.56880261100409e-83	-1.45478065377551	0.0742532686806772	7.58735255148789	0.64153228267157	0.000535889828136617	0.00773443203651065	0.00366358801980906	0.00773443203651065
"142"	142	"ENST00000455833"	"ENSG00000169991"	"IFFO2"	7.80615442979108e-85	2.82186985345095e-82	-1.33857400635245	0.0685835040522157	6.30870629989047	0.542794495107496	0.00197942165501013	0.00459605829843875	0.00507612388711031	0.00507612388711031
"143"	143	"ENST00000371429"	"ENSG00000058804"	"NDC1"	9.05810950444239e-85	3.25154459497928e-82	-1.39304119595378	0.0714020125174996	6.78282154726365	0.588287028957156	0.00122157237211602	0.00642579871520773	0.0040688651650072	0.00642579871520773
"144"	144	"ENST00000361505"	"ENSG00000198805"	"PNP"	2.56516354893255e-84	9.1440955065143e-82	-1.54563880891645	0.0794405683847564	5.92815691586264	0.722561591432769	0.00296595073003146	0.00436129070018586	0.00650025512790826	0.00650025512790826
"145"	145	"ENST00000380244"	"ENSG00000089280"	"FUS"	2.62430330649675e-84	9.29039567786837e-82	-1.11131783091376	0.0571213803710376	8.02940352437525	0.370792757378367	0.000808125371570331	-0.000452424138682784	0.00408615277166882	0.00408615277166882
